"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"105","沙鹿","2013","01",15,0,39.6024093368063,54.041252284415,"臺中市","沙鹿區"
"106","宜蘭","2013","01",3,0,21.7986792893876,35.238519486591,"宜蘭縣","宜蘭市"
"107","忠明","2013","01",14,0,33.7024990437333,52.2456395287742,"臺中市","南屯區"
"108","松山","2013","01",3,0,20.9409057971015,37.6002805049088,"臺北市","松山區"
"109","板橋","2013","01",9,0,27.9003038803179,44.9596189808322,"新北市","板橋區"
"110","林口","2013","01",6,0,25.1762450188116,36.6472599396863,"新北市","林口區"
"111","林園","2013","01",20,0,41.2598024929722,60.5109917548557,"高雄市","林園區"
"112","花蓮","2013","01",0,0,13.1807503506311,26.2677653108929,"花蓮縣","花蓮市"
"113","金門","2013","01",25,5,53.5897934463853,98.3693420884865,"金門縣","金城鎮"
"114","前金","2013","01",29,9,59.5621413999745,108.505551659654,"高雄市","前金區"
"115","前鎮","2013","01",29,7,60.3776293540494,96.5107452505419,"高雄市","前鎮區"
"116","南投","2013","01",19,0,39.8448457223001,65.3724287050023,"南投縣","南投市"
"117","屏東","2013","01",30,1,56.5938575800077,85.1473819541842,"屏東縣","屏東市"
"118","恆春","2013","01",0,0,13.8060173783304,23.6978819450769,"屏東縣","恆春鎮"
"119","美濃","2013","01",26,1,46.3971871591086,67.5351605111423,"高雄市","美濃區"
"120","苗栗","2013","01",12,0,28.9231692804624,53.7813071103744,"苗栗縣","苗栗市"
"121","埔里","2013","01",13,0,35.4667484805984,46.676834969612,"南投縣","埔里鎮"
"122","桃園","2013","01",10,0,28.7543411473987,43.192897214987,"桃園市","桃園區"
"123","馬公","2013","01",12,0,31.5542415742276,56.614061371074,"澎湖縣","馬公市"
"124","馬祖","2013","01",17,2,43.9567395554422,68.3814707382379,"連江縣","南竿鄉"
"125","基隆","2013","01",3,0,19.7699958409986,29.6615665774151,"基隆市","信義區"
"126","崙背","2013","01",17,2,44.0260954566705,73.9980402124142,"雲林縣","崙背鄉"
"127","淡水","2013","01",7,0,25.5292660121552,36.5944207148625,"新北市","淡水區"
"128","麥寮","2013","01",14,1,36.9193882321512,61.5513833992095,"雲林縣","麥寮鄉"
"129","善化","2013","01",22,1,46.7002103786816,81.9585086489014,"臺南市","善化區"
"130","復興","2013","01",25,7,51.3674029920524,104.184447915339,"高雄市","前鎮區"
"131","湖口","2013","01",14,0,34.0896234434103,47.3478845254792,"新竹縣","湖口鄉"
"132","菜寮","2013","01",7,0,24.5924568263278,41.8798928981257,"新北市","三重區"
"133","陽明","2013","01",0,0,11.1241499851247,14.9090289794357,"臺北市","北投區"
"134","新竹","2013","01",11,0,34.1761549577118,50.5979907773386,"新竹市","東區"
"135","新店","2013","01",4,0,38.6318438003221,57.7091384863124,"新北市","新店區"
"136","新莊","2013","01",12,0,31.3296272684772,45.1132857325003,"新北市","新莊區"
"137","新港","2013","01",16,4,42.3490298952255,89.127326915721,"嘉義縣","新港鄉"
"138","新營","2013","01",20,7,45.570476858345,97.6882889200561,"臺南市","新營區"
"139","楠梓","2013","01",26,8,53.9942145862553,106.705916103532,"高雄市","楠梓區"
"140","萬里","2013","01",3,1,16.2560191678354,50.838592800374,"新北市","萬里區"
"141","萬華","2013","01",5,0,26.3661439075184,42.7463159211055,"臺北市","萬華區"
"142","嘉義","2013","01",23,3,52.0869603164484,83.4316446371145,"嘉義市","西區"
"143","彰化","2013","01",17,0,41.5347489116774,58.9829359513791,"彰化縣","彰化市"
"144","鳳山","2013","01",30,8,59.5377406604616,109.785939691445,"高雄市","鳳山區"
"145","潮州","2013","01",30,5,57.4299858432046,96.0597108886905,"屏東縣","潮州鎮"
"146","線西","2013","01",12,0,32.2875812826724,58.5476858345021,"彰化縣","線西鄉"
"147","橋頭","2013","01",26,5,55.2045436836811,91.4602954510037,"高雄市","橋頭區"
"148","頭份","2013","01",12,0,30.6278251610475,50.8439080496409,"苗栗縣","頭份鎮"
"149","龍潭","2013","01",10,0,26.5092696574113,60.9889920277552,"桃園市","龍潭區"
"150","豐原","2013","01",2,0,19.4045609548167,38.1964762716681,"臺中市","豐原區"
"151","關山","2013","01",0,0,12.6679523141655,25.1641856857495,"臺東縣","關山鎮"
"152","觀音","2013","01",8,1,27.8356963587088,60.6993338008415,"桃園市","觀音區"
"153","二林","2014","01",18,3,42.1788660577876,87.6644406902121,"彰化縣","二林鎮"
"154","三重","2014","01",11,5,31.7309384164223,90.9917176675592,"新北市","三重區"
"155","三義","2014","01",12,1,31.8873305282842,58.02097942964,"苗栗縣","三義鄉"
"156","土城","2014","01",12,2,33.6368630201029,60.0906009605168,"新北市","土城區"
"157","士林","2014","01",9,2,28.6610838903967,59.5553094054146,"臺北市","北投區"
"158","大同","2014","01",8,3,25.0839177185601,76.0431754430703,"臺北市","大同區"
"159","大里","2014","01",18,0,42.6219414643328,79.9491220560646,"臺中市","大里區"
"160","大園","2014","01",13,3,33.4462949976625,70.895984742233,"桃園市","大園區"
"161","大寮","2014","01",27,6,53.8762932369174,100.333738152918,"高雄市","大寮區"
"162","小港","2014","01",24,10,51.2878825825881,117.207764885886,"高雄市","小港區"
"163","中山","2014","01",7,3,26.2007947639084,79.4604034737275,"臺北市","中山區"
"164","中壢","2014","01",12,4,36.3766446269953,84.0579342817071,"桃園市","中壢區"
"165","仁武","2014","01",25,4,52.695532564677,99.1396559261216,"高雄市","仁武區"
"166","斗六","2014","01",23,4,53.2945567172425,88.706250796889,"雲林縣","斗六市"
"167","冬山","2014","01",5,0,22.1295582047686,50.3816619915849,"宜蘭縣","冬山鄉"
"168","古亭","2014","01",7,2,27.4161407199626,61.2490649836372,"臺北市","大安區"
"169","左營","2014","01",28,8,55.6663744740533,108.012361285401,"高雄市","左營區"
